State,Duration,StartTime,EndTime
²L¯v,88.0 ,2024/5/26 03:25,2024/5/26 04:53
²`¯v,28.0 ,2024/5/26 04:53,2024/5/26 05:21
²L¯v,8.0 ,2024/5/26 05:21,2024/5/26 05:29
²L¯v,2.0 ,2024/5/26 05:29,2024/5/26 05:31
²L¯v,8.0 ,2024/5/26 05:31,2024/5/26 05:39
²L¯v,12.0 ,2024/5/26 05:39,2024/5/26 05:51
²L¯v,63.0 ,2024/5/26 05:51,2024/5/26 06:54
²L¯v,10.0 ,2024/5/26 06:54,2024/5/26 07:04
²L¯v,25.0 ,2024/5/26 07:04,2024/5/26 07:29
²`¯v,34.0 ,2024/5/26 07:29,2024/5/26 08:03
²L¯v,53.0 ,2024/5/26 08:03,2024/5/26 08:56
²`¯v,25.0 ,2024/5/26 08:56,2024/5/26 09:21
²L¯v,43.0 ,2024/5/26 09:21,2024/5/26 10:04
¿ô,399.0 ,2024/5/26 10:04,2024/5/26 16:43
¿ô,2.0 ,2024/5/26 16:43,2024/5/26 16:45
¿ô,99.0 ,2024/5/26 16:45,2024/5/26 18:24
¿ô,107.0 ,2024/5/26 18:24,2024/5/26 20:11
¿ô,9.0 ,2024/5/26 20:11,2024/5/26 20:20
¿ô,14.0 ,2024/5/26 20:20,2024/5/26 20:34
¿ô,10.0 ,2024/5/26 20:34,2024/5/26 20:44
¿ô,1.0 ,2024/5/26 20:44,2024/5/26 20:45
¿ô,3.0 ,2024/5/26 20:45,2024/5/26 20:48
¿ô,12.0 ,2024/5/26 20:48,2024/5/26 21:00
¿ô,233.0 ,2024/5/26 21:00,2024/5/27 00:53
²L¯v,9.0 ,2024/5/27 00:53,2024/5/27 01:02
²L¯v,12.0 ,2024/5/27 01:02,2024/5/27 01:14
²L¯v,4.0 ,2024/5/27 01:14,2024/5/27 01:18
¿ô,9.0 ,2024/5/27 01:18,2024/5/27 01:27
²L¯v,6.0 ,2024/5/27 01:27,2024/5/27 01:33
¿ô,26.0 ,2024/5/27 01:33,2024/5/27 01:59
²L¯v,15.0 ,2024/5/27 01:59,2024/5/27 02:14
²L¯v,9.0 ,2024/5/27 02:14,2024/5/27 02:23
²L¯v,16.0 ,2024/5/27 02:23,2024/5/27 02:39
²L¯v,30.0 ,2024/5/27 02:39,2024/5/27 03:09
²L¯v,15.0 ,2024/5/27 03:09,2024/5/27 03:24
²L¯v,9.0 ,2024/5/27 03:24,2024/5/27 03:33
²`¯v,29.0 ,2024/5/27 03:33,2024/5/27 04:02
²L¯v,4.0 ,2024/5/27 04:02,2024/5/27 04:06
¿ô,72.0 ,2024/5/27 04:06,2024/5/27 05:18
²L¯v,9.0 ,2024/5/27 05:18,2024/5/27 05:27
²L¯v,11.0 ,2024/5/27 05:27,2024/5/27 05:38
²L¯v,8.0 ,2024/5/27 05:38,2024/5/27 05:46
²L¯v,3.0 ,2024/5/27 05:46,2024/5/27 05:49
²L¯v,56.0 ,2024/5/27 05:49,2024/5/27 06:45
²L¯v,10.0 ,2024/5/27 06:45,2024/5/27 06:55
²L¯v,4.0 ,2024/5/27 06:55,2024/5/27 06:59
²L¯v,8.0 ,2024/5/27 06:59,2024/5/27 07:07
²L¯v,7.0 ,2024/5/27 07:07,2024/5/27 07:14
²L¯v,9.0 ,2024/5/27 07:14,2024/5/27 07:23
²L¯v,3.0 ,2024/5/27 07:23,2024/5/27 07:26
²L¯v,10.0 ,2024/5/27 07:26,2024/5/27 07:36
²L¯v,2.0 ,2024/5/27 07:36,2024/5/27 07:38
²L¯v,41.0 ,2024/5/27 07:38,2024/5/27 08:19
²L¯v,7.0 ,2024/5/27 08:19,2024/5/27 08:26
²L¯v,18.0 ,2024/5/27 08:26,2024/5/27 08:44
²`¯v,34.0 ,2024/5/27 08:44,2024/5/27 09:18
²L¯v,1.0 ,2024/5/27 09:18,2024/5/27 09:19
¿ô,696.0 ,2024/5/27 09:19,2024/5/27 20:55
¿ô,81.0 ,2024/5/27 20:55,2024/5/27 22:16
¿ô,183.0 ,2024/5/27 22:16,2024/5/28 01:19
²L¯v,9.0 ,2024/5/28 01:19,2024/5/28 01:28
²L¯v,11.0 ,2024/5/28 01:28,2024/5/28 01:39
²L¯v,9.0 ,2024/5/28 01:39,2024/5/28 01:48
¿ô,23.0 ,2024/5/28 01:48,2024/5/28 02:11
²L¯v,9.0 ,2024/5/28 02:11,2024/5/28 02:20
²L¯v,19.0 ,2024/5/28 02:20,2024/5/28 02:39
¿ô,9.0 ,2024/5/28 02:39,2024/5/28 02:48
²L¯v,22.0 ,2024/5/28 02:48,2024/5/28 03:10
²L¯v,3.0 ,2024/5/28 03:10,2024/5/28 03:13
²L¯v,13.0 ,2024/5/28 03:13,2024/5/28 03:26
²`¯v,28.0 ,2024/5/28 03:26,2024/5/28 03:54
²L¯v,18.0 ,2024/5/28 03:54,2024/5/28 04:12
²L¯v,11.0 ,2024/5/28 04:12,2024/5/28 04:23
²L¯v,30.0 ,2024/5/28 04:23,2024/5/28 04:53
²L¯v,3.0 ,2024/5/28 04:53,2024/5/28 04:56
²L¯v,15.0 ,2024/5/28 04:56,2024/5/28 05:11
²`¯v,21.0 ,2024/5/28 05:11,2024/5/28 05:32
²L¯v,55.0 ,2024/5/28 05:32,2024/5/28 06:27
²L¯v,1.0 ,2024/5/28 06:27,2024/5/28 06:28
²L¯v,51.0 ,2024/5/28 06:28,2024/5/28 07:19
²`¯v,20.0 ,2024/5/28 07:19,2024/5/28 07:39
¿ô,46.0 ,2024/5/28 07:39,2024/5/28 08:25
²L¯v,19.0 ,2024/5/28 08:25,2024/5/28 08:44
²L¯v,5.0 ,2024/5/28 08:44,2024/5/28 08:49
²L¯v,8.0 ,2024/5/28 08:49,2024/5/28 08:57
²L¯v,11.0 ,2024/5/28 08:57,2024/5/28 09:08
²L¯v,44.0 ,2024/5/28 09:08,2024/5/28 09:52
²L¯v,11.0 ,2024/5/28 09:52,2024/5/28 10:03
²L¯v,16.0 ,2024/5/28 10:03,2024/5/28 10:19
²L¯v,11.0 ,2024/5/28 10:19,2024/5/28 10:30
²L¯v,8.0 ,2024/5/28 10:30,2024/5/28 10:38
²L¯v,2.0 ,2024/5/28 10:38,2024/5/28 10:40
²L¯v,7.0 ,2024/5/28 10:40,2024/5/28 10:47
¿ô,562.0 ,2024/5/28 10:47,2024/5/28 20:09
¿ô,8.0 ,2024/5/28 20:09,2024/5/28 20:17
¿ô,17.0 ,2024/5/28 20:17,2024/5/28 20:34
¿ô,105.0 ,2024/5/28 20:34,2024/5/28 22:19
¿ô,130.0 ,2024/5/28 22:19,2024/5/29 00:29
²L¯v,8.0 ,2024/5/29 00:29,2024/5/29 00:37
²`¯v,37.0 ,2024/5/29 00:37,2024/5/29 01:14
²L¯v,16.0 ,2024/5/29 01:14,2024/5/29 01:30
²L¯v,8.0 ,2024/5/29 01:30,2024/5/29 01:38
²L¯v,19.0 ,2024/5/29 01:38,2024/5/29 01:57
²`¯v,21.0 ,2024/5/29 01:57,2024/5/29 02:18
²L¯v,34.0 ,2024/5/29 02:18,2024/5/29 02:52
